source: SEMrush > Organic Research > Pages (Top Pages) for mycondopro.ca (GTA pre-construction aggregator), 2026-07-13. Columns normalized from paste. Top page is only ~116 visits/mo at 1.13% of traffic → site total ≈ 10K visits/mo. Referring domains ≈ 0 on nearly all pages.
url	traffic	traffic_pct	keywords	llm_prompts	ref_domains	top_keyword	intent
mycondopro.ca/project/270-the-kingsway-condos/	116	1.13	9	0	0	270 the kingsway	I
mycondopro.ca/project/357-king-west-condos/	113	1.10	11	2	0	357 king st w	I
mycondopro.ca/project/bramrose-square-condos/	104	1.02	9	0	0	bramrose square	I
mycondopro.ca/project/brimley-x-ing-condos/	87	0.85	12	0	0	brimley and sheppard	I
mycondopro.ca/project/900-middlefield-road-condos/	87	0.85	6	0	0	900 middlefield rd	I
mycondopro.ca/project/m2m-condos/	86	0.84	11	0	0	m2m condos phase 1 north tower	I
mycondopro.ca/mls/47-durham-crescent-brampton-on-l6t-2x7-mls-w12187720/	84	0.82	5	0	0	47 durham crescent brampton on l6t 2x7	I
mycondopro.ca/project/252-church-condos/	79	0.77	11	1	0	252 church street	C
mycondopro.ca/project/jefferson-heights/	73	0.71	14	0	0	jefferson heights	C
mycondopro.ca/project/keeley-condos/	73	0.71	2	6	1	keeley condos	I
mycondopro.ca/project/8-wellesley-condos/	73	0.71	18	0	0	8 wellesley	C
mycondopro.ca/project/1-eva-road-condos/	72	0.70	7	2	0	1 eva road etobicoke	I
mycondopro.ca/project/1515-pickering-parkway-condos/	72	0.70	7	7	95	1515 pickering parkway	I
mycondopro.ca/project/the-markdale/	69	0.67	27	1	0	markdale.ca	I
mycondopro.ca/project/28-eastern-condos-assignment/	68	0.66	5	0	0	28 eastern condos	C
mycondopro.ca/project/3300-highway-7/	65	0.63	9	0	0	3300 highway 7	I
mycondopro.ca/project/2775-jane-street-condos/	64	0.62	4	0	0	2775 jane street	I
mycondopro.ca/project/hurontario-and-eglinton-condos/	63	0.61	4	1	0	hurontario and eglinton	I
mycondopro.ca/project/20-stonehill-court-condos/	62	0.60	7	0	0	20 stonehill court scarborough	I
mycondopro.ca/project/4949-bathurst-street-condos/	62	0.60	7	0	0	4949 bathurst st	I
mycondopro.ca/project/10-royal-orchard-boulevard-condos/	61	0.59	8	0	0	royal orchard boulevard	I
mycondopro.ca/project/last-chance-to-buy-before-construction-price/	60	0.58	7	0	0	unionville gardens	I
mycondopro.ca/project/flori-towns/	58	0.56	8	0	0	flori towns vauhghan	I
mycondopro.ca/project/alba-condos-assignment-1-bedroom-den/	58	0.56	5	0	0	alba condo	I
mycondopro.ca/project/5-tangreen-court-condos/	57	0.55	1	0	0	5 tangreen court	I
mycondopro.ca/project/250-lawrence-condos/	55	0.53	7	0	1	250 lawrence avenue west	I
mycondopro.ca/project/canopy-towers-2/	54	0.53	3	0	90	canopy towers	I
mycondopro.ca/project/30-eglinton-avenue-west-condos/	53	0.52	15	0	0	30 eglinton avenue west mississauga on	I
mycondopro.ca/project/sage-kingston-condos/	53	0.52	9	3	0	sage kingston	N
mycondopro.ca/project/20-leslie-street-condos/	51	0.50	7	0	0	20 leslie street	I
mycondopro.ca/project/central-park-condos/	51	0.50	15	2	0	1200 sheppard avenue east	I
mycondopro.ca/project/500-duplex-avenue-condos/	51	0.50	8	0	0	500 duplex ave	I
mycondopro.ca/project/25-mabelle-avenue-condos/	50	0.49	16	2	0	25 mabelle	I
mycondopro.ca/project/11-yorkville-condos/	49	0.48	12	3	0	11 yorkville condo	I
mycondopro.ca/project/m3-condos/	47	0.46	12	0	0	m3 condos	I
mycondopro.ca/project/concord-canada-house-assignment-1-bedroom/	46	0.45	19	1	0	concord canada house	I
mycondopro.ca/project/woodbine-parkside/	46	0.45	14	0	0	woodbine parkside	I
mycondopro.ca/project/8888-yonge-condos/	44	0.43	7	0	0	8888 yonge condos	I
mycondopro.ca/project/major-mackenzie-condos/	44	0.43	8	0	0	weston and major mackenzie	I
mycondopro.ca/project/155-antibes-drive-condos/	44	0.43	7	0	0	antibes drive toronto	I
mycondopro.ca/project/camden-crossing/	44	0.43	9	0	1	camden crossing richmond hill	I
mycondopro.ca/project/141-davisville-avenue-condos/	43	0.42	10	0	0	141 davisville avenue toronto	I
mycondopro.ca/project/2345-yonge-street-condos/	43	0.42	6	0	1	2345 yonge street toronto	I
mycondopro.ca/project/plaza-on-yonge/	43	0.42	6	0	0	5858 yonge street	I
mycondopro.ca/project/royal-bayview-condos/	42	0.41	11	0	0	royal bayview	N
mycondopro.ca/project/promenade-park-towers/	42	0.41	4	0	0	promenade park towers	C
mycondopro.ca/project/ivy-condos-by-the-sher-corporation-in-downtown-toronto/	42	0.41	10	0	0	ivy condos	I
mycondopro.ca/project/8-cumberland-condos/	42	0.41	6	1	0	8 cumberland	C
mycondopro.ca/project/art-shoppe-condos-by-freed-development/	42	0.41	14	3	0	art shoppe lofts and condos	I
mycondopro.ca/project/789-don-mills-condos/	41	0.40	4	0	0	789 don mills	I
mycondopro.ca/project/lakeside-muskoka/	39	0.38	8	0	0	lakeside muskoka	T
mycondopro.ca/project/oscar-residences/	39	0.38	6	0	0	oscar residences	I
mycondopro.ca/project/2-carlton-street-condos/	38	0.37	8	0	0	2 carlton street	I
mycondopro.ca/project/the-lakefront-condos/	38	0.37	1	0	0	the lakefront	N
mycondopro.ca/project/bayview-woods/	37	0.36	9	2	0	bayview woods	I
mycondopro.ca/project/45-balliol-street-condos/	36	0.35	3	1	0	45 balliol street	I
mycondopro.ca/project/tanu-condo/	36	0.35	2	0	0	tanu condos	T|I
mycondopro.ca/project/the-millhouse-condominiums/	36	0.35	8	0	0	the millhouse condominiums	I
mycondopro.ca/mls/2275-markham-road-toronto-e11-on-m1b-2w3-mls-e12266821/	35	0.34	2	0	0	2275 markham road	C|I
mycondopro.ca/project/sugar-wharf-condos/	35	0.34	5	2	1	sugar wharf condos	C
mycondopro.ca/project/25-st-mary-condos/	35	0.34	10	1	0	25 st mary	I
mycondopro.ca/project/river-pointe-phase-1/	35	0.34	9	1	0	riverside pointe	I
mycondopro.ca/project/lawrence-hill-towns/	35	0.34	8	0	0	lawrence hill urban towns	I
mycondopro.ca/project/20-de-boers-drive-condos/	35	0.34	5	0	0	20 de boers drive	I
mycondopro.ca/project/the-whitfield/	34	0.33	15	4	0	180 front street east toronto on	I
mycondopro.ca/project/union-village-homes/	33	0.32	16	1	0	union village	T
mycondopro.ca/project/88-queen-condos/	33	0.32	22	0	1	88 queen condo	C
mycondopro.ca/project/28-eastern-condos-assignment-2-bedroom/	33	0.32	3	0	0	28 eastern avenue toronto	C
mycondopro.ca/project/199-church-condos/	33	0.32	4	0	0	199 church condominiums	C|I
mycondopro.ca/project/nuvo-condos-in-oakville/	33	0.32	9	2	0	nuvo condos oakville	C
mycondopro.ca/project/artform-condos/	32	0.31	8	3	0	artform condos	I
mycondopro.ca/project/the-kith-condos/	32	0.31	11	5	0	the kith condos	T
mycondopro.ca/project/soul-condos-by-fram-building-group-in-north-york/	32	0.31	4	0	0	soul condos	I
mycondopro.ca/project/verde-condos-at-fairview-mall-north-york/	31	0.30	5	0	0	188 fairview mall drive north york on	C|I
mycondopro.ca/project/notting-hill-condos/	31	0.30	6	0	0	royal york and eglinton	I
mycondopro.ca/project/jac-condos-assignment/	31	0.30	3	0	0	jac condos toronto	I
mycondopro.ca/project/300-east-mall-condos/	31	0.30	10	0	0	300 the east mall	I
mycondopro.ca/project/brooklin-vue/	31	0.30	4	0	95	brooklin vue	I
mycondopro.ca/project/artists-alley-condos/	30	0.29	4	0	66	artist alley condo	I
mycondopro.ca/project/6020-bathurst-street-condos/	30	0.29	3	0	0	6020 bathurst street	I
mycondopro.ca/project/6464-yonge-street-condos/	29	0.28	3	0	0	6464 yonge street	I
mycondopro.ca/project/leaside-common/	29	0.28	6	0	0	leaside common condos	I
mycondopro.ca/project/world-on-yonge-condos-at-yonge-and-steels/	29	0.28	6	0	0	world on yonge	I
mycondopro.ca/project/universal-city-condos-phase-3/	29	0.28	6	0	0	universal city condos	T|I
mycondopro.ca/project/the-narrative-condos/	29	0.28	6	0	0	the narrative condos	I
mycondopro.ca/project/vendome-markham/	29	0.28	3	0	0	vendôme markham condominiums	T
mycondopro.ca/project/avia/	29	0.28	10	0	0	430 square one drive	C
mycondopro.ca/project/express-condos/	29	0.28	4	0	0	express condo	I
mycondopro.ca/project/2650-lawrence-east-condos/	28	0.27	6	0	0	2650 lawrence avenue east scarborough on	I
mycondopro.ca/project/200-gateway-boulevard-condos/	28	0.27	7	0	0	200 gateway blvd	I
mycondopro.ca/project/1-eglinton-avenue-east-condos/	28	0.27	13	0	0	1 eglinton ave east toronto	I
mycondopro.ca/project/the-ravine-condos-in-north-york/	28	0.27	7	1	0	the ravine condos toronto	T|N
mycondopro.ca/project/le-sherbrooke-montreal/	28	0.27	3	1	0	le sherbrooke	T|I
mycondopro.ca/project/the-goode-condos/	28	0.27	7	0	0	the goode condos	I
mycondopro.ca/project/elle-condos/	27	0.26	5	0	0	elle condominium	I
mycondopro.ca/project/1900-eglinton-avenue-east-condos/	27	0.26	8	2	0	1900 eglinton avenue east	I
mycondopro.ca/project/heartlake-collection-at-uptowns/	27	0.26	18	2	0	uptowns at heartlake brampton	I
mycondopro.ca/project/tea-garden-condos-by-phantom-developments-in-north-york/	27	0.26	6	0	0	tea garden condominiums	I
mycondopro.ca/project/pinnacle-toronto-east-condos/	27	0.26	16	0	0	pinnacle toronto east	I
mycondopro.ca/project/joy-station-condos/	27	0.26	11	0	0	joy station condos	I
